Country,Deaths_per_1Mpop,Date,Month_Key,Insolation_Average,Cloud_Fraction,CENTR_latitude,CENTR_longitude,LogDeaths_per_1Mpop,Month_Fct2020
Estonia,52,2020-06-30,2020-06,346.9721419319274,0.22093253966701765,58.595272,25.013607,1.7160033436347992,Jun
Finland,59,2020-06-30,2020-06,347.0732270931562,0.326231990817256,61.92411,25.748151,1.7708520116421442,Jun
France,457,2020-06-30,2020-06,287.48554410521274,0.6599633076436534,46.227638,2.213749,2.6599162000698504,Jun
Germany,108,2020-06-30,2020-06,312.3436303765924,0.6064153155765017,51.165691,10.451526,2.03342375548695,Jun
Greece,18,2020-06-30,2020-06,395.82567207040074,0.12661336949549434,39.074208,21.824312,1.255272505103306,Jun
Hungary,61,2020-06-30,2020-06,382.2108625247155,0.058287037090961766,47.162494,19.503304,1.7853298350107671,Jun
Ireland,351,2020-06-30,2020-06,241.7132696371812,0.7579423063076459,53.41291,-8.24389,2.545307116465824,Jun
Italy,575,2020-06-30,2020-06,314.47431677573843,0.41158814594435494,41.87194,12.56738,2.7596678446896306,Jun
Latvia,16,2020-06-30,2020-06,349.3539300326643,0.14901724164855892,56.879635,24.603189,1.2041199826559248,Jun
Lithuania,29,2020-06-30,2020-06,363.8365230003782,0.10968435063849473,55.169438,23.881275,1.462397997898956,Jun
Luxembourg,176,2020-06-30,2020-06,318.30750528971356,0.463666670024395,49.815273,6.129583,2.24551266781415,Jun
Malta,20,2020-06-30,2020-06,334.00499725341797,0.2554999999701977,35.937496,14.375416,1.3010299956639813,Jun
Moldova,133,2020-06-30,2020-06,408.9305383591425,0.005690476261190183,47.411631,28.369885,2.123851640967086,Jun
Montenegro,18,2020-06-30,2020-06,358.36607033865795,0.04278571464653526,42.708678,19.374389999999998,1.255272505103306,Jun
Netherlands,356,2020-06-30,2020-06,302.39750307256526,0.7699715901504863,52.132633,5.291266,2.5514499979728753,Jun
North_Macedonia,143,2020-06-30,2020-06,378.34605916341144,0.018606060777198185,41.62,21.719,2.155336037465062,Jun
Norway,46,2020-06-30,2020-06,294.7917846642018,0.6388351259956091,60.472024,8.468946,1.662757831681574,Jun
